"ONT_Barcode"	"HW_address"	"Payload1"	"Payload2"	"Payload3"	"Payload4"	"Payload5"	"Payload6"	"Payload7"	"Payload8"
"19"	"barcode_external08_internal04"	"[0,0,7,8]"	"[0,0,5,8]"	"[0,5,6,8]"	"[0,0,1,7]"	"[0,0,0,7]"	"[0,0,0,2]"	"[0,0,3,8]"	"[0,0,0,0]"
"19"	"barcode_external01_internal05"	"[0,0,7,8]"	"[0,2,5,8]"	"[0,0,5,8]"	"[0,1,7,8]"	"[0,0,0,7]"	"[0,0,0,6]"	"[0,0,0,3]"	"[0,0,0,0]"
"19"	"barcode_external02_internal05"	"[0,0,0,2]"	"[0,0,0,0]"	"[0,0,0,4]"	"[0,0,0,5]"	"[0,0,0,8]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"
"19"	"barcode_external03_internal05"	"[0,1,3,6]"	"[0,0,3,5]"	"[0,0,1,2]"	"[0,2,3,4]"	"[0,0,5,8]"	"[0,0,0,7]"	"[0,0,0,1]"	"[0,0,0,0]"
"19"	"barcode_external04_internal05"	"[0,0,0,0]"	"[0,0,3,5]"	"[0,0,0,0]"	"[0,0,0,3]"	"[0,0,0,3]"	"[0,0,0,7]"	"[0,0,0,7]"	"[0,0,0,7]"
"19"	"barcode_external05_internal05"	"[0,0,6,7]"	"[0,0,0,2]"	"[0,0,0,0]"	"[0,0,0,6]"	"[0,0,0,7]"	"[0,0,0,0]"	"[0,0,3,8]"	"[0,0,0,2]"
"19"	"barcode_external06_internal05"	"[0,0,0,0]"	"[0,0,0,2]"	"[0,0,0,7]"	"[0,0,6,7]"	"[0,0,0,8]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,4]"
"19"	"barcode_external07_internal05"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,5,8]"	"[0,0,1,2]"	"[0,0,3,6]"	"[0,0,0,6]"	"[0,0,0,0]"	"[0,0,0,0]"
"19"	"barcode_external08_internal05"	"[0,3,5,8]"	"[0,0,4,6]"	"[0,0,5,6]"	"[0,0,4,6]"	"[0,1,4,5]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"
"19"	"barcode_external01_internal06"	"[0,1,3,4]"	"[0,0,0,6]"	"[0,0,1,7]"	"[0,0,0,0]"	"[0,0,4,8]"	"[0,0,0,5]"	"[0,0,0,0]"	"[0,0,0,5]"
"19"	"barcode_external02_internal06"	"[0,0,0,3]"	"[0,0,2,5]"	"[0,0,0,5]"	"[0,0,0,0]"	"[0,0,0,2]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"
