"ONT_Barcode"	"HW_Address"	"Payload1"	"Payload2"	"Payload3"	"Payload4"	"Payload5"	"Payload6"	"Payload7"	"Payload8"
"36"	"barcode_external06_internal04"	"[0,0,3,6]"	"[0,0,5,7]"	"[0,0,0,4]"	"[0,0,0,6]"	"[0,0,0,0]"	"[0,0,2,6]"	"[0,0,0,2]"	"[0,0,0,0]"
"36"	"barcode_external07_internal04"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,6]"	"[0,0,0,1]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"
"36"	"barcode_external08_internal04"	"[0,0,0,1]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"
"36"	"barcode_external01_internal05"	"[0,0,0,0]"	"[0,0,4,8]"	"[0,0,3,5]"	"[0,0,0,4]"	"[0,0,0,7]"	"[0,0,0,1]"	"[0,0,0,7]"	"[0,0,0,0]"
"36"	"barcode_external02_internal05"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"
"36"	"barcode_external03_internal05"	"[0,0,2,4]"	"[0,0,0,4]"	"[0,0,0,2]"	"[0,0,0,3]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,2]"
"36"	"barcode_external04_internal05"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,1,2]"	"[0,0,0,1]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,1]"
"36"	"barcode_external05_internal05"	"[0,0,0,4]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"
"36"	"barcode_external06_internal05"	"[0,0,0,3]"	"[0,0,0,0]"	"[0,0,0,5]"	"[0,0,0,2]"	"[0,0,0,5]"	"[0,0,0,0]"	"[0,0,0,2]"	"[0,0,0,1]"
"36"	"barcode_external07_internal05"	"[0,0,0,5]"	"[0,0,0,3]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"
"36"	"barcode_external08_internal05"	"[0,0,0,6]"	"[0,0,0,0]"	"[0,0,2,5]"	"[0,0,0,4]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,1]"	"[0,0,0,1]"
"36"	"barcode_external01_internal06"	"[0,0,0,0]"	"[0,0,0,8]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,8]"	"[0,0,0,0]"
"36"	"barcode_external02_internal06"	"[0,0,0,7]"	"[0,0,0,4]"	"[0,0,0,7]"	"[0,0,0,0]"	"[0,0,0,4]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,1]"
"36"	"barcode_external03_internal06"	"[0,0,0,7]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,5]"	"[0,0,0,3]"	"[0,0,0,0]"
"36"	"barcode_external04_internal06"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,3,8]"	"[0,0,0,8]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,5]"	"[0,0,0,3]"
"36"	"barcode_external05_internal06"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,1,2]"	"[0,0,3,7]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,7]"
"36"	"barcode_external06_internal06"	"[0,0,0,5]"	"[0,0,2,4]"	"[0,0,2,8]"	"[0,0,3,5]"	"[0,0,1,2]"	"[0,0,0,4]"	"[0,0,0,8]"	"[0,0,0,3]"
"36"	"barcode_external07_internal06"	"[0,0,4,8]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,6]"	"[0,0,1,5]"	"[0,0,0,4]"	"[0,0,0,0]"	"[0,0,0,0]"
"36"	"barcode_external08_internal06"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"
"36"	"barcode_external01_internal07"	"[0,0,0,2]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,1]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"
"36"	"barcode_external02_internal07"	"[0,0,0,0]"	"[0,0,0,4]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"
"36"	"barcode_external03_internal07"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,6]"	"[0,0,0,0]"
"36"	"barcode_external04_internal07"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,2]"	"[0,0,0,0]"
"36"	"barcode_external05_internal07"	"[0,0,5,6]"	"[0,0,0,1]"	"[0,0,4,7]"	"[0,0,0,3]"	"[0,0,0,1]"	"[0,0,0,0]"	"[0,0,0,0]"	"[0,0,0,5]"
